"乡镇","市级","区县","纬度","名称","河流","类型","村庄","经度"
"横村镇","杭州市","桐庐县","29.8768005","浪石金滩亲水圈","分水江","漂流","浪石村","119.5770035"
"百江镇","杭州市","桐庐县","29.8769531","淡水沙滩亲水圈","前溪","乡村旅游","联盟村","119.3849792"
"江南镇","杭州市","桐庐县","29.8519974","江南古村落水系亲水圈","洋婆溪","摄影","深澳村","119.8369598"
"桐君街道","杭州市","桐庐县","29.8089008","东门码头亲水圈","富春江","水上游线","东门社区","119.6829987"
"桐君街道","杭州市","桐庐县","29.8102875","桐君山亲水圈","富春江","乡村旅游","东门社区","119.6846237"
"瑶琳镇","杭州市","桐庐县","29.9054203","马术公园亲水圈","分水江","滨水广场","皇甫村","119.539772"
"城南街道","杭州市","桐庐县","29.7714005","大奇山森林公园亲水圈","石景源山塘溪","旅游风景区","金牛村","119.7220001"
"城南街道","杭州市","桐庐县","29.8140182","富春江水利风景区亲水圈","富春江","旅游风景区","梅林社区","119.7112198"
"分水镇","杭州市","桐庐县","29.9885998","南堡湿地公园亲水圈","分水江水库","旅游风景区","三槐村","119.4079971"
"富春江镇","杭州市","桐庐县","29.6851044","芦茨村亲水圈","芦茨溪","乡村旅游","芦茨村","119.6749802"
"上塘街道","杭州市","拱墅区","30.3253956","如梦上塘亲水圈","上塘河","水上游线","皋亭社区","120.1688614"
"拱宸桥街道","杭州市","拱墅区","30.3181992","桥西历史街区亲水圈","京杭大运河","亲水平台","桥西社区","120.1389999"
"场口镇","杭州市","富阳区","29.8876801","东梓关村亲水圈","富春江","摄影","东梓关村","119.823204"
"湖源乡","杭州市","富阳区","29.812645","富阳龙鳞坝亲水圈","壶源溪","游泳","新一村","119.9492111"
"东洲街道","杭州市","富阳区","30.0772152","黄公望村亲水圈","北支江","亲水平台","黄公望村","120.0122757"
"富春街道","杭州市","富阳区","30.0788536","阳陂湖亲水圈","阳陂湖","旅游风景区","湖塍村","119.914238"
"龙门镇","杭州市","富阳区","29.9010048","龙门古镇亲水圈","剡溪","旅游风景区","龙门三村","119.9509201"
"东洲街道","杭州市","富阳区","30.0948048","东洲五丰岛亲水圈","富春江","产业园区","五丰村","120.1348114"
"新桐乡","杭州市","富阳区","29.884531","桐洲岛亲水圈","富春江","露营","江洲村","119.8034058"
"银湖街道","杭州市","富阳区","30.1112003","受降溪清水圈","受降溪","亲水平台","受降村","119.947998"
"东洲街道","杭州市","富阳区","30.0719337","北支江亲水圈","北支江","文化研学","东洲村","120.012352"
"胥口镇","杭州市","富阳区","30.0109081","岩石岭水库清水圈","岩石岭水库","露营","上练村","119.6357422"
"上塘街道","杭州市","拱墅区","30.3163071","红建河（陆家坞）亲水圈","红建河","游步道","拱宸社区","120.14991"
"天水街道","杭州市","拱墅区","30.2740688","武林门码头亲水圈","环北社区","滨水广场","环城社区","120.1648331"
"祥符街道","杭州市","拱墅区","30.3135586","运河亚运公园亲水圈","婴儿港河、北庄河、永兴河","亲水平台","蓝孔雀社区","120.10392"
"拱宸桥街道","杭州市","拱墅区","30.3181305","运河拱宸桥亲水圈","京杭大运河","亲水平台","桥西社区","120.1398468"
"翠苑街道","杭州市","西湖区","30.2860146","翠苑一区九曲池","古荡湾河","文化研学","翠苑一区","120.1283112"
"东新街道","杭州市","拱墅区","30.3107376","杭州城北体育公园亲水圈","上塘河","亲水平台","三塘社区、灯塔社区","120.164566"
"灵隐街道","杭州市","西湖区","30.2577038","青柳塘","浙大护校河","游步道","玉泉社区","120.1239777"
"湖墅街道","杭州市","拱墅区","30.2952423","富义仓遗址公园亲水圈","京杭大运河","滨水广场","霞湾巷社区","120.1501007"
"石桥街道","杭州市","拱墅区","30.332962","欢喜永宁桥亲水圈","上塘河","亲水平台","石桥社区","120.1758499"
"双浦镇","杭州市","西湖区","30.0986137","新浦沿白鸟龙潭","钱塘江","游步道","新浦沿村、白鸟村","120.110878"
"双浦镇","杭州市","西湖区","30.1202278","铜鉴湖","钱塘江","旅游风景区","铜鉴湖社区","120.0665283"
"古荡街道","杭州市","西湖区","30.2781734","嘉绿南苑池塘","冯家河","滨水广场","嘉绿苑社区","120.1182938"
"湖墅街道","杭州市","拱墅区","30.3033466","大兜路历史街区亲水圈","京杭大运河","亲水平台","任和仓社区","120.1420059"
"长河街道","杭州市","滨江区","30.1527004","梅林春早","刺陵河","游步道","白马湖社区","120.2040024"
"南星街道","杭州市","上城区","30.2034569","海月水景公园亲水圈","安家塘","亲水平台","白塔社区","120.1475906"
